D1,D2,D3,D4,D5,D6,year,weekofyear,week_start_date
0.6622195925952273,0.3776703423233201,0.23125928446499738,-0.04704256268459026,-0.0845040792472253,-0.06975305300590118,1990,18,1990-04-30
0.18856098623978332,0.20996601051678893,0.1899781650449901,-0.022156046021124386,0.08358923455019897,0.11030343281094182,1990,19,1990-05-07
-0.1346241965953956,0.30608250252563585,-0.025451988980409172,-0.020773055052501762,0.11818866756875604,-0.03432629955522237,1990,20,1990-05-14
-0.06700444131483367,-0.10714382176585052,0.14218600547431492,-0.26959018236251875,0.17084296879799363,0.11528484915088744,1990,21,1990-05-21
-0.21863026343442804,-0.48836564676395416,0.26920910782020246,-0.2898002521206213,0.3976356497350487,-0.18215782644990836,1990,22,1990-05-28
-0.30751642485767416,-0.18462261696795096,-0.15043769013467684,-0.21394330275373397,0.19703883513896764,-0.159845065667506,1990,23,1990-06-04
-0.015884370399189943,-0.10727962546934292,-0.3256961101741561,-0.16155439368573313,0.1816216583421787,-0.08253865739229109,1990,24,1990-06-11
-0.6119040764089724,0.312167724457715,0.07715903842628238,-0.030339724319726362,0.3377001529898333,0.136831291915594,1990,25,1990-06-18
-0.3824679327856783,-0.020425610811226423,-0.1050191602881089,0.05976500456071312,0.35056136969585205,-0.00885321011446473,1990,26,1990-06-25
-0.44039719693533996,-0.3262543266013647,-0.061377483300181696,-0.13300850456480892,0.20221754154970617,0.3431772112488173,1990,27,1990-07-02
-0.2719631488151392,0.1445819455547957,-0.14344656685146057,-0.06034586718880884,0.10297700073255459,-0.17906624988466135,1990,28,1990-07-09
-0.4782579631051859,0.06279296264272376,0.11935392017296804,-0.5001684615428801,0.12371587310764924,-0.0019803695061145696,1990,29,1990-07-16
-0.22795832935780094,0.061091556406208655,-0.16827489702469506,-0.2270724345485264,0.06884135608865806,-0.05703311307974467,1990,30,1990-07-23
-0.5230957258150172,-0.18584167090239045,0.03233360238306646,0.012672743129582668,0.10780863414494343,0.03741968529311202,1990,32,1990-08-06
